source,target,similarity,weight
386,403,0.9915630497159592,0.9957815248579795
502,510,0.9913764839134218,0.9956882419567109
499,502,0.9900091095004113,0.9950045547502057
392,460,0.9865776378298743,0.9932888189149371
848,850,0.9826341569356581,0.9913170784678291
419,429,0.9823622572788788,0.9911811286394394
256,258,0.980893810096032,0.990446905048016
329,338,0.980599724736047,0.9902998623680235
348,365,0.9798256491622546,0.9899128245811273
305,309,0.9787872383778833,0.9893936191889416
349,354,0.9781162082704057,0.9890581041352029
431,457,0.9779422712117257,0.9889711356058628
354,365,0.9776496096689843,0.9888248048344921
200,209,0.9770484279682299,0.9885242139841149
254,258,0.9768137489114462,0.9884068744557231
907,908,0.9766894656365162,0.9883447328182581
298,324,0.9766469362122273,0.9883234681061137
406,412,0.9765021674211971,0.9882510837105986
308,313,0.976109897681803,0.9880549488409015
191,213,0.9736411485104064,0.9868205742552032
314,315,0.9717415534180931,0.9858707767090465
311,316,0.9714699184394102,0.9857349592197051
442,445,0.9714175241621701,0.985708762081085
301,303,0.9712156703779263,0.9856078351889632
385,398,0.9703230076862541,0.9851615038431271
499,510,0.9700917193705905,0.9850458596852952
254,255,0.9697286692534889,0.9848643346267445
261,289,0.9694445922599552,0.9847222961299775
416,429,0.9663312607885236,0.9831656303942617
434,446,0.9661963270500117,0.9830981635250058
317,385,0.966127473064615,0.9830637365323075
330,335,0.9654568628716172,0.9827284314358087
308,315,0.9652644563306978,0.9826322281653489
389,392,0.9638824085732528,0.9819412042866265
314,316,0.9638350883587885,0.9819175441793943
413,418,0.9636332780384842,0.9818166390192421
951,954,0.9617920256595621,0.980896012829781
305,330,0.9616691844124837,0.9808345922062418
389,412,0.9616124815706667,0.9808062407853333
313,314,0.9615887102624635,0.9807943551312317
448,453,0.96116391192001,0.9805819559600051
304,381,0.9610600397924196,0.9805300198962098
70,104,0.9578541402455173,0.9789270701227586
912,930,0.9568581814728825,0.9784290907364412
369,372,0.9563904375490971,0.9781952187745486
308,319,0.955479195611726,0.977739597805863
25,29,0.9546991251490136,0.9773495625745068
317,398,0.9543189276373504,0.9771594638186751
319,389,0.9542400945883573,0.9771200472941787
313,406,0.9540759909254498,0.9770379954627249
164,202,0.9530813686829519,0.9765406843414759
232,283,0.9528718273142923,0.9764359136571461
349,358,0.952504560417897,0.9762522802089485
317,336,0.9522260403638616,0.9761130201819308
392,412,0.9507927807964215,0.9753963903982108
311,315,0.9504772190999272,0.9752386095499637
996,997,0.949688795683805,0.9748443978419026
276,277,0.9496763883844295,0.9748381941922147
390,469,0.949437744813294,0.974718872406647
515,541,0.9493437896203952,0.9746718948101976
273,275,0.9485602932604286,0.9742801466302142
391,422,0.9483914239363312,0.9741957119681657
315,319,0.9479841581835696,0.9739920790917849
1169,1170,0.9476876696130072,0.9738438348065036
375,377,0.9473734363652749,0.9736867181826374
389,460,0.9466225373250131,0.9733112686625065
311,314,0.9464939057870613,0.9732469528935306
278,281,0.9462942724238745,0.9731471362119373
462,467,0.9458756385548805,0.9729378192774403
313,315,0.9444684085324626,0.9722342042662313
384,465,0.9442338713671796,0.9721169356835898
66,191,0.9441094199313337,0.9720547099656669
416,419,0.9429376393950869,0.9714688196975434
964,970,0.942399442399096,0.971199721199548
309,330,0.9419036133314929,0.9709518066657464
320,322,0.9419035887432735,0.9709517943716368
308,412,0.941755877935817,0.9708779389679085
538,539,0.9415338711525911,0.9707669355762956
386,389,0.9412003496784195,0.9706001748392097
319,392,0.9397700444422852,0.9698850222211426
315,392,0.9395202445039572,0.9697601222519786
309,335,0.9395175395569302,0.9697587697784651
274,282,0.9391852507402952,0.9695926253701477
343,350,0.939125632357768,0.9695628161788841
104,500,0.9387637983564915,0.9693818991782457
392,403,0.9378761521137684,0.9689380760568842
319,412,0.9378458676711751,0.9689229338355876
308,314,0.9363923157687044,0.9681961578843522
396,406,0.9362203428080625,0.9681101714040312
303,396,0.936038302272896,0.968019151136448
942,986,0.9359040769090101,0.9679520384545051
912,922,0.9356721430306502,0.9678360715153251
306,341,0.9354599244183882,0.9677299622091942
201,860,0.9353669647040999,0.9676834823520499
315,412,0.9350799135200083,0.9675399567600041
308,389,0.9346517167268846,0.9673258583634423
519,670,0.9346015626402175,0.9673007813201088
389,403,0.9345256082586244,0.9672628041293122
348,354,0.9344999920233459,0.9672499960116729
840,856,0.9342638781748235,0.9671319390874118
621,682,0.9341011213889967,0.9670505606944984
77,821,0.9340264248133567,0.9670132124066784
922,930,0.9338552103613081,0.9669276051806541
314,406,0.9336160252608385,0.9668080126304193
1089,1094,0.9335472261396414,0.9667736130698207
605,702,0.9334082635986405,0.9667041317993202
375,376,0.9325881600405249,0.9662940800202624
652,676,0.9322041281431517,0.9661020640715758
858,871,0.9317914377757468,0.9658957188878734
411,464,0.9313552246136452,0.9656776123068226
515,533,0.9312926983600619,0.9656463491800309
306,317,0.9305036150588907,0.9652518075294454
412,460,0.9303690180502259,0.965184509025113
419,423,0.9303431576661426,0.9651715788330713
505,507,0.9300974677876971,0.9650487338938485
981,988,0.9296001853001147,0.9648000926500573
916,930,0.9288411064209603,0.9644205532104801
912,916,0.9285844595326005,0.9642922297663002
550,554,0.9284160233163418,0.9642080116581708
336,385,0.9284054805162689,0.9642027402581345
843,982,0.9280756900387863,0.9640378450193932
530,578,0.9279765307661039,0.9639882653830519
340,359,0.9277069002769657,0.9638534501384828
916,922,0.9276385966112617,0.9638192983056308
386,392,0.9275603307777782,0.9637801653888891
313,412,0.9270066349425595,0.9635033174712797
239,282,0.9263209766626247,0.9631604883313123
674,710,0.9259729738231648,0.9629864869115824
66,213,0.925691593956412,0.962845796978206
308,406,0.9256060826859589,0.9628030413429794
979,980,0.9254908409414576,0.9627454204707289
1046,1099,0.9252024488449035,0.9626012244224518
858,876,0.9249511592066244,0.9624755796033122
329,440,0.9249339352483541,0.962466967624177
179,207,0.9246038735403441,0.9623019367701721
315,316,0.9244542733254978,0.9622271366627488
391,442,0.9237313660900813,0.9618656830450407
184,196,0.9233779221846299,0.9616889610923149
934,947,0.9231481089917591,0.9615740544958795
309,315,0.922014467539905,0.9610072337699525
305,314,0.9219128844272871,0.9609564422136436
31,719,0.9218216874729028,0.9609108437364514
946,950,0.9212863415704015,0.9606431707852008
369,371,0.9210410810133187,0.9605205405066594
196,808,0.9202474716341693,0.9601237358170847
701,714,0.9199070598193841,0.9599535299096921
315,460,0.9191597377641503,0.9595798688820751
254,256,0.9188879534205515,0.9594439767102758
543,629,0.918754794013578,0.9593773970067889
319,460,0.9184213935212014,0.9592106967606007
349,365,0.9182128918475068,0.9591064459237534
403,460,0.917774513362048,0.958887256681024
315,406,0.9171666017430058,0.9585833008715029
830,920,0.917153551134212,0.958576775567106
332,388,0.917135212435712,0.9585676062178561
799,802,0.9164600204866504,0.9582300102433252
209,850,0.9162771936462785,0.9581385968231393
306,398,0.9160413950375681,0.958020697518784
328,394,0.9157787146896074,0.9578893573448037
1035,1089,0.9157448260870811,0.9578724130435405
1038,1072,0.9153245253766533,0.9576622626883267
70,500,0.9151673603506933,0.9575836801753467
328,458,0.9145049240314447,0.9572524620157223
209,823,0.9144629528195606,0.9572314764097802
305,335,0.9128020330430866,0.9564010165215433
1028,1117,0.9122650895690385,0.9561325447845193
312,390,0.912173739914428,0.956086869957214
1131,1157,0.9116865976799663,0.9558432988399832
431,452,0.9112520314700725,0.9556260157350362
279,292,0.9106729311988165,0.9553364655994083
362,381,0.9099749673052713,0.9549874836526356
572,635,0.9098264016481358,0.9549132008240679
349,422,0.9098103497255021,0.9549051748627511
1110,1160,0.9094854043879729,0.9547427021939865
382,386,0.9094807421076118,0.9547403710538058
201,714,0.9092001907149161,0.954600095357458
144,178,0.9088758472272123,0.9544379236136061
305,313,0.9086610096397306,0.9543305048198654
331,346,0.908531667616306,0.954265833808153
217,823,0.9084119937589951,0.9542059968794976
396,412,0.9082708742322986,0.9541354371161492
319,403,0.9078506091565034,0.9539253045782516
317,340,0.907753100933155,0.9538765504665775
306,385,0.9072643290774818,0.9536321645387409
391,445,0.9068659261519482,0.9534329630759741
