play_id,match_id,map_name,map_id,round,kill_ordinal,tick,event_seconds,attacker_side,attacker_side_id,player_slot,victim_side,victim_player_slot,weapon,weapon_id,weapon_class,weapon_class_id,headshot,distance,dmg_health,hitgroup,noscope,through_smoke,penetrated,wallbang,attacker_blind,attacker_kills_before,attacker_kills_after,ct_alive_before,t_alive_before,ct_alive_after,t_alive_after,attacker_alive_before,opponent_alive_before,attacker_alive_after,opponent_alive_after,time_since_previous_kill_s,time_to_next_kill_s,is_opening_kill,is_trade_within_5s,is_1v1_before,is_clutch_context,player_round_kills,first_player_kill_s,last_player_kill_s,round_kill_span_s,player_round_assists,player_round_headshots,player_round_kast,round_duration_s,winner_side,round_reason,has_bomb_plant,round_n_kills,round_n_headshots,round_n_awp_kills,round_n_smoke_kills,round_n_blind_kills,round_n_noscope_kills,round_n_wallbang_kills,round_n_trade_kills_5s,round_n_1v1_kills,had_clutch_context,had_1v1,kills_within_10s,kills_after_10s,kills_within_6s,local_kill_span_10s,media_id,player_side,primary_weapon,duration_s,media_bytes,sidecar_bytes,video_path,ticks_parquet_path,is_ace,is_1v1,is_clutch,is_plain_multikill,is_impressive_multikill,is_flick,tick_feature_computed,view_snap_score,flick_score_percentile,interest_score,tick_window_n,pre_angle_sum,pre_angle_max,pre_angle_mean,pre250_angle_sum,pre250_angle_max,pre250_yaw_sum,pre250_pitch_sum,post_angle_sum,avg_speed_xy,max_speed_xy,tick_error,tags,primary_label,event_phase,distance_log,time_since_previous_kill_log,time_to_next_kill_log,media_mb,sidecar_kb,x,y,video_url
2392334-de_dust2-r17-k008,2392334,de_dust2,4,17,8,197357,72.015625,t,2,6,ct,3,ak47,1,rifle,7,True,17.856968,51,head,False,True,1,True,False,2,3,1,1,0,1,1,1,1,0,4.5,999.0,False,False,True,True,3,55.78125,72.015625,16.234375,0,2,True,92.015625,t,ct_killed,True,9,8,0,6,0,0,1,1,1,True,True,2,1,1,4.5,2392334-de_dust2-r17-p06,T,ak47,72.5625,63323906,207795,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392334/map_name=de_dust2/round=17/player=06/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392334/map_name=de_dust2/round=17/player=06/ticks.parquet,False,True,True,True,True,False,True,4.2082319119008025,0.2309941520467836,10.19053237452568,35.0,3.033088303909598,0.4988324893297049,0.10458925185895165,1.7809942143066446,0.4988324893297049,1.0162050127983093,1.2342380117624998,0.7011490305302568,35.30083681723649,103.45372825162057,,clutch;1v1;impressive_multikill,1v1,0.9924634,2.9368825,1.7047482,4.1108737,63.323906,207.795,3.0672303958308587,-2.4671154076634,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2392334/map_name=de_dust2/round=17/player=06/video.mp4
2392445-de_overpass-r21-k008,2392445,de_overpass,8,21,8,180403,118.828125,t,2,5,ct,3,ak47,1,rifle,7,True,16.57789,140,head,False,True,0,False,False,2,3,1,1,0,1,1,1,1,0,3.578125,999.0,False,False,True,True,3,74.421875,118.828125,44.40625,0,2,True,176.28125,t,ct_killed,True,9,3,3,3,0,0,1,1,1,True,True,2,1,1,3.578125,2392445-de_overpass-r21-p05,T,ak47,118.875,100528057,311617,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392445/map_name=de_overpass/round=21/player=05/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392445/map_name=de_overpass/round=21/player=05/ticks.parquet,False,True,True,True,True,False,True,4.440524958568137,0.2573099415204678,9.279996282725344,29.0,6.505375925667712,0.5284720157978112,0.22432330778164525,1.8762422069529494,0.26730896640031443,1.6277019828557968,0.8359829895198345,0.0,142.8391534259943,215.00881106042647,,clutch;1v1;impressive_multikill,1v1,0.99960566,2.866642,1.5212896,4.1108737,100.528057,311.617,4.899334850634728,-3.385303296356884,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2392445/map_name=de_overpass/round=21/player=05/video.mp4
2393406-de_dust2-r05-k008,2393406,de_dust2,4,5,8,41204,76.953125,t,2,9,ct,1,ak47,1,rifle,7,True,14.877679,140,head,False,True,0,False,False,2,3,1,1,0,1,1,1,1,0,0.5,999.0,False,False,True,True,3,45.3125,76.953125,31.640625,0,2,True,96.953125,t,ct_killed,False,9,5,0,1,0,0,0,2,1,True,True,2,1,2,0.5,2393406-de_dust2-r05-p09,T,ak47,77.0,53916304,199267,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393406/map_name=de_dust2/round=05/player=09/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393406/map_name=de_dust2/round=05/player=09/ticks.parquet,False,True,True,True,True,False,False,0.6191228569582932,,9.26473714174976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,clutch;1v1;impressive_multikill,1v1,0.99939126,2.7649143,0.4054651,4.1108737,53.916304,199.267,2.2272199674966404,1.5935454817793706,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393406/map_name=de_dust2/round=05/player=09/video.mp4
2392915-de_ancient-r08-k008,2392915,de_ancient,1,8,8,73248,81.15625,t,2,7,ct,4,ak47,1,rifle,7,True,26.465538,103,head,False,False,1,True,False,2,3,1,1,0,1,1,1,1,0,1.421875,999.0,False,True,True,True,3,33.96875,81.15625,47.1875,0,2,True,101.15625,t,ct_killed,False,9,6,1,2,0,0,1,3,1,True,True,1,1,1,0.0,2392915-de_ancient-r08-p07,T,ak47,81.71875,75681626,219359,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392915/map_name=de_ancient/round=08/player=07/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392915/map_name=de_ancient/round=08/player=07/ticks.parquet,False,True,True,True,True,False,True,3.817508242982771,0.18128654970760233,9.096939808411502,35.0,3.0768485098946545,0.31448400020599365,0.10609822447912602,1.8452531598501096,0.30169253322992245,1.3932039886713028,0.8531659990549088,0.7340585894370473,66.30365467555815,183.80143863791554,,clutch;1v1;impressive_multikill,1v1,0.9931166,3.312932,0.88454205,4.1108737,75.681626,219.359,4.142389684133223,-3.014852973502626,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2392915/map_name=de_ancient/round=08/player=07/video.mp4
2393019-de_inferno-r04-k008,2393019,de_inferno,5,4,8,37540,116.6875,ct,1,9,t,1,ak47,1,rifle,7,True,22.258924,84,head,False,False,1,True,False,2,3,1,1,1,0,1,1,1,0,0.34375,999.0,False,True,True,True,3,48.28125,116.6875,68.40625,0,2,True,143.01562,ct,bomb_defused,True,9,4,2,0,0,0,1,1,1,True,True,1,1,1,0.0,2393019-de_inferno-r04-p09,CT,ak47,123.5625,108128854,315675,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393019/map_name=de_inferno/round=04/player=09/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393019/map_name=de_inferno/round=04/player=09/ticks.parquet,False,True,True,True,True,False,True,7.211989273323698,0.5584795321637427,9.072003336075102,35.0,7.368701437050488,0.4423283739999333,0.25409315300174096,4.047993665634577,0.4423283739999333,1.7602149955928326,2.9481220301240683,1.804936731154485,41.145600320141426,51.287059206164294,,clutch;1v1;impressive_multikill,1v1,0.94436014,3.146689,0.29546422,4.1108737,108.128854,315.675,4.4800085455023755,-3.711008240004528,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393019/map_name=de_inferno/round=04/player=09/video.mp4
2393086-de_inferno-r16-k008,2393086,de_inferno,5,16,8,151280,121.6875,ct,1,1,t,5,ak47,1,rifle,7,True,19.674593,54,head,False,False,1,True,False,2,3,1,1,1,0,1,1,1,0,13.828125,999.0,False,False,True,True,3,36.40625,121.6875,85.28125,0,2,True,154.1875,ct,bomb_defused,True,9,6,1,0,0,0,2,1,1,True,True,1,1,1,0.0,2393086-de_inferno-r16-p01,CT,m4a1,134.21875,95406392,333880,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393086/map_name=de_inferno/round=16/player=01/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393086/map_name=de_inferno/round=16/player=01/ticks.parquet,False,True,True,True,True,False,True,11.684749263117123,0.8011695906432749,9.054335833061218,35.0,9.343379704792394,1.098659573274425,0.3221855070618067,6.553567707456488,1.098659573274425,5.97105298563838,1.9054269790649414,1.6517417722349557,93.9181321945924,204.92498940280143,,clutch;1v1;impressive_multikill,1v1,0.90663564,3.0289056,2.6965258,4.1108737,95.406392,333.88,5.174390387475951,-6.126896443079183,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393086/map_name=de_inferno/round=16/player=01/video.mp4
2393157-de_ancient-r08-k008,2393157,de_ancient,1,8,8,57672,68.21875,t,2,7,ct,2,ak47,1,rifle,7,True,18.810307,78,head,False,False,1,True,False,2,3,1,1,0,1,1,1,1,0,28.5625,999.0,False,False,True,True,3,18.484375,68.21875,49.734375,1,2,True,88.21875,t,ct_killed,False,9,5,1,1,1,0,1,3,1,True,True,1,1,1,0.0,2393157-de_ancient-r08-p07,T,ak47,68.78125,62396659,188664,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393157/map_name=de_ancient/round=08/player=07/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393157/map_name=de_ancient/round=08/player=07/ticks.parquet,False,True,True,True,True,False,True,7.609515388576003,0.5760233918128655,9.04793035025776,35.0,7.760147882947945,0.5502776315990068,0.2675913063085498,4.1325146866532245,0.5417983612320404,2.365158971399069,3.0799419805407524,2.152878722243874,33.84779133257229,111.797146352336,,clutch;1v1;impressive_multikill,1v1,0.9918219,2.9862022,3.3865066,4.1108737,62.396659,188.664,4.248717816854861,-4.578105059399324,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393157/map_name=de_ancient/round=08/player=07/video.mp4
2393397-de_dust2-r14-k008,2393397,de_dust2,4,14,8,127523,77.890625,t,2,0,ct,6,deagle,8,pistol,6,True,22.602415,144,head,False,True,0,False,False,2,3,1,1,0,1,1,1,1,0,22.53125,999.0,False,False,True,True,3,33.5,77.890625,44.390625,0,1,True,97.890625,t,ct_killed,True,9,7,0,2,0,0,1,2,1,True,True,1,1,1,0.0,2393397-de_dust2-r14-p00,T,deagle,77.9375,72073059,226849,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393397/map_name=de_dust2/round=14/player=00/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393397/map_name=de_dust2/round=14/player=00/ticks.parquet,False,True,True,True,True,False,True,3.8925619209142353,0.195906432748538,8.974202356134871,29.0,2.4311260423733962,0.36976757566242396,0.08383193249563435,1.8898608048272603,0.36976757566242396,1.7825619913637638,0.4655470009893179,0.0,52.66446006958604,70.53671585558408,,clutch;1v1;impressive_multikill,1v1,0.9993985,3.161349,3.1583292,4.1108737,72.073059,226.849,3.816767575995107,-1.636734107215532,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393397/map_name=de_dust2/round=14/player=00/video.mp4
2393337-de_nuke-r07-k008,2393337,de_nuke,7,7,8,80099,92.8125,ct,1,2,t,9,ak47,1,rifle,7,True,12.608612,109,head,False,True,0,False,False,2,3,1,1,1,0,1,1,1,0,10.0625,999.0,False,False,True,True,3,37.734375,92.8125,55.078125,0,2,True,114.34375,ct,bomb_defused,True,9,6,0,1,0,0,0,3,1,True,True,1,1,1,0.0,2393337-de_nuke-r07-p02,CT,ak47,99.40625,82078858,236127,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393337/map_name=de_nuke/round=07/player=02/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2393337/map_name=de_nuke/round=07/player=02/ticks.parquet,False,True,True,True,True,False,False,0.6152675708019104,,8.891605424811464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,clutch;1v1;impressive_multikill,1v1,0.9336687,2.6107028,2.403561,4.1108737,82.078858,236.127,2.5335221674649975,1.4600129360851013,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2393337/map_name=de_nuke/round=07/player=02/video.mp4
2392206-de_mirage-r11-k008,2392206,de_mirage,6,11,8,90570,90.671875,t,2,3,ct,9,ak47,1,rifle,7,True,20.754053,108,head,False,False,0,False,False,2,3,1,1,0,1,1,1,1,0,1.234375,999.0,False,False,True,True,3,88.9375,90.671875,1.734375,0,2,True,110.671875,t,ct_killed,True,9,4,1,0,0,0,0,1,1,True,True,3,1,3,1.734375,2392206-de_mirage-r11-p03,T,ak47,91.21875,54360563,196842,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392206/map_name=de_mirage/round=11/player=03/video.mp4,hf://datasets/blanchon/opencs2_dataset@main/rounds/match_id=2392206/map_name=de_mirage/round=11/player=03/ticks.parquet,False,True,True,True,True,False,True,14.159801251942008,0.868421052631579,8.861970013549117,35.0,10.16455318037271,1.478599506893921,0.3505018338059555,7.951256797063868,1.478599506893921,6.652924004942179,2.7452079467475414,2.2832328221484124,99.71688808656756,204.7201448712427,,clutch;1v1;impressive_multikill,1v1,0.9940048,3.0798001,0.8039615,4.1108737,54.360563,196.842,5.656756534319353,-6.525963821633886,https://huggingface.co/datasets/blanchon/opencs2_dataset/resolve/main/rounds/match_id=2392206/map_name=de_mirage/round=11/player=03/video.mp4
